ID,Customer_age,Age_group,Income,Income_group,Customer_days,Education,Marital_Status,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain,Response
5524,63,Senior,58138.0,middle_income,4721,Graduation,Single,0,0,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1
2174,66,Senior,46344.0,middle_income,4171,Graduation,Single,1,1,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0
4141,55,Pre-Senior,71613.0,middle_income,4370,Graduation,Together,0,0,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0
6182,36,Adult,26646.0,low_income,4197,Graduation,Together,1,0,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0
5324,39,Adult,58293.0,middle_income,4219,PhD,Married,1,0,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0
7446,53,Pre-Senior,62513.0,middle_income,4351,Master,Together,0,1,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0
965,49,Middle-Aged,55635.0,middle_income,4651,Graduation,Divorced,0,1,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0
6177,35,Adult,33454.0,low_income,4475,PhD,Married,1,0,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0
4855,46,Middle-Aged,30351.0,low_income,4446,PhD,Together,1,0,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1
5899,70,Senior,5648.0,low_income,4166,PhD,Together,1,1,68,28,0,6,1,1,13,1,1,0,0,20,0,0,1,0,0,0,0
1994,37,Adult,0.0,low_income,4284,Graduation,Married,1,0,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,0
387,44,Middle-Aged,7500.0,low_income,4651,Basic,Married,0,0,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0
2125,61,Senior,63033.0,middle_income,4284,Graduation,Divorced,0,0,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0
8180,68,Senior,59354.0,middle_income,4284,Master,Divorced,1,1,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0
2569,33,Adult,17323.0,low_income,4685,Graduation,Married,0,0,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0
2114,74,Elderly,82800.0,high_income,4640,PhD,Single,0,0,23,1006,22,115,59,68,45,1,7,6,12,3,1,0,0,0,1,0,1
9736,40,Adult,41850.0,middle_income,4610,Graduation,Married,1,1,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0
4939,74,Elderly,37760.0,low_income,4725,Graduation,Together,0,0,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0
6565,71,Elderly,76995.0,high_income,4516,Master,Married,0,1,91,1012,80,498,0,16,176,2,11,4,9,5,1,0,0,0,0,0,0
2278,35,Adult,33812.0,low_income,4661,2n Cycle,Single,1,0,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0
9360,38,Adult,37040.0,low_income,4748,Graduation,Married,0,0,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0
5376,41,Middle-Aged,2447.0,low_income,4597,Graduation,Married,1,0,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0
1993,71,Elderly,58607.0,middle_income,4611,PhD,Married,0,1,63,867,0,86,0,0,19,3,2,3,9,8,0,0,0,1,0,0,0
4047,66,Senior,65324.0,middle_income,4227,PhD,Married,0,1,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0
1409,69,Senior,40689.0,middle_income,4526,Graduation,Together,0,1,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0
7892,51,Pre-Senior,18589.0,low_income,4601,Graduation,Single,0,0,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0
